标准分类,标准命名,算子分级,Package,PyTorch link
View,flatten,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.flatten.html?highlight=flatten#torch.flatten>
View,squeeze,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.squeeze.html?highlight=squeeze#torch.squeeze>
View,unsqueeze,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.unsqueeze.html#torch.unsqueeze>
View,chunk,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.chunk.html?highlight=chunk#torch.chunk>
View,split,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.split.html?highlight=split#torch.split>
View,unbind,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.unbind.html?highlight=bind#torch.unbind>
View,expand,P0,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.expand.html?highlight=expand#torch.Tensor.expand>
View,select,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.select.html#torch.select>
View,take,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.take.html?highlight=take#torch.take>
View,tensor_split,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.tensor_split.html#torch.tensor_split>
Advanced Indexing,gather,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.gather.html?highlight=gather#torch.gather>
Advanced Indexing,scatter,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.scatter_.html#torch.Tensor.scatter_>
Advanced Indexing,index_put,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.index_put.html?highlight=index_put>
Advanced Indexing,index_select,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.index_select.html?highlight=index_select>
Advanced Indexing,masked_fill,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.masked_fill.html?highlight=masked_fill#torch.Tensor.masked_fill>
Advanced Indexing,masked_select,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.masked_select.html?highlight=masked_select#torch.masked_select>
Advanced Indexing,index_add ,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.index_add.html?highlight=index_add#torch.Tensor.index_add>
Advanced Indexing,scatter_add,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.scatter_add_.html#torch.Tensor.scatter_add_>
Advanced Indexing,slice_scatter,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.slice_scatter.html?highlight=slice_scatter#torch.slice_scatter>
Advanced Indexing,index_copy,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.index_copy.html?highlight=index_copy#torch.Tensor.index_copy>
Advanced Indexing,index_fill,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.index_fill.html?highlight=index_fill>
Advanced Indexing,masked_scatter,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.masked_scatter.html?highlight=masked_scatter#torch.Tensor.masked_scatter>
Distribution,randperm,P0,torch,<https://pytorch.org/docs/stable/generated/torch.randperm.html#torch.randperm>
Distribution,bernoulli,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.bernoulli.html?highlight=bernoulli#torch.bernoulli>
Distribution,one_hot,P0,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.one_hot.html?highlight=one_hot#torch.nn.functional.one_hot>
Distribution,rand,P1,torch,<https://pytorch.org/docs/stable/generated/torch.rand.html#torch.rand>
Distribution,randn,P1,torch,<https://pytorch.org/docs/stable/generated/torch.randn.html#torch.randn>
Distribution,multinomial,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.multinomial.html?highlight=multinomial#torch.multinomial>
Distribution,randint,P1,torch,<https://pytorch.org/docs/stable/generated/torch.randint.html#torch.randint>
Distribution,randint,P2,torch,<https://pytorch.org/docs/stable/generated/torch.randint.html#torch.randint>
Distribution,normal,P2,torch,<https://pytorch.org/docs/stable/generated/torch.normal.html?highlight=normal#torch.normal>
Distribution,poisson,P2,torch,<https://pytorch.org/docs/stable/generated/torch.poisson.html?highlight=poisson#torch.poisson>
Distribution,cauchy,P2,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.cauchy_.html?highlight=cauchy#torch.Tensor.cauchy_>
Distribution,exponential,P2,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.exponential_.html?highlight=exponential#torch.Tensor.exponential_>
Distribution,get_rng_state,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.get_rng_state.html#torch.cuda.get_rng_state>
Distribution,set_rng_state,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.set_rng_state.html#torch.cuda.set_rng_state>
Distribution,get_rng_state_all,P2,torch.cuda,<https://pytorch.org/docs/stable/generated/torch.cuda.get_rng_state_all.html#torch.cuda.get_rng_state_all>
Distribution,set_rng_state_all,P2,torch.cuda,<https://pytorch.org/docs/stable/generated/torch.cuda.set_rng_state_all.html#torch.cuda.set_rng_state_all>
Distribution,manual_seed,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.manual_seed.html#torch.cuda.manual_seed>
Distribution,manual_seed_all,P2,torch.cuda,<https://pytorch.org/docs/stable/generated/torch.cuda.manual_seed_all.html#torch.cuda.manual_seed_all>
Distribution,seed,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.seed.html#torch.cuda.seed>
Distribution,seed_all,P2,torch.cuda,<https://pytorch.org/docs/stable/generated/torch.cuda.seed_all.html#torch.cuda.seed_all>
Distribution,initial_seed,P2,"torch, torch.cuda",<https://pytorch.org/docs/stable/generated/torch.cuda.initial_seed.html#torch.cuda.initial_seed>
Sort,topk,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.topk.html?highlight=topk#torch.topk>
Sort,sort,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.sort.html?highlight=sort#torch.sort>
Sort,argsort,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.argsort.html?highlight=argsort#torch.argsort>
Element-wise,abs,P0,"torch, torch.Tensor",
Element-wise,exp,P0,"torch, torch.Tensor",
Element-wise,floor,P0,"torch, torch.Tensor",
Element-wise,log,P0,"torch, torch.Tensor",
Element-wise,log2,P0,"torch, torch.Tensor",
Element-wise,pow,P0,"torch, torch.Tensor",
Element-wise,reciprocal,P0,"torch, torch.Tensor",
Element-wise,sqrt,P0,"torch, torch.Tensor",
Element-wise,tanh,P0,"torch, torch.Tensor, torch.nn.functional",
Element-wise,neg,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.neg.html?highlight=neg#torch.neg>
Element-wise,sign,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.sign.html#torch.sign>
Element-wise,isinf,P0,torch,<https://pytorch.org/docs/stable/generated/torch.isinf.html?highlight=isinf#torch.isinf>
Element-wise,isnan,P0,torch,<https://pytorch.org/docs/stable/generated/torch.isnan.html?highlight=isnan#torch.isnan>
Element-wise,threshold,P0,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.threshold.html#torch.nn.functional.threshold>
Element-wise,clamp,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.clamp.html?highlight=clamp#torch.clamp>
Element-wise,clamp_max,P0,"torch, torch.Tensor",
Element-wise,clamp_min,P0,"torch, torch.Tensor",
Element-wise,maximum,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.maximum.html#torch.maximum>
Element-wise,minimum,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.minimum.html?highlight=minimum#torch.minimum>
Element-wise,eq,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.eq.html?highlight=eq#torch.eq>
Element-wise,ge,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.ge.html?highlight=ge#torch.ge>
Element-wise,gt,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.gt.html?highlight=gt#torch.gt>
Element-wise,le,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.le.html?highlight=le#torch.le>
Element-wise,ne,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.ne.html?highlight=ne#torch.ne>
Element-wise,add,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.add.html?highlight=add#torch.add>
Element-wise,div,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.div.html?highlight=div#torch.div>
Element-wise,mul,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.mul.html?highlight=mul>
Element-wise,sub,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.sub.html?highlight=sub#torch.sub>
Element-wise,remainder,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.remainder.html#torch.remainder>
Element-wise,addcdiv,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.addcdiv.html#torch.addcdiv>
Element-wise,addcmul,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.addcmul.html#torch.addcmul>
Element-wise,cos,P1,"torch, torch.Tensor",
Element-wise,sin,P1,"torch, torch.Tensor",
Element-wise,logical_and,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.logical_and.html?highlight=logical_#torch.logical_and>
Element-wise,ceil,P1,"torch, torch.Tensor",
Element-wise,equal,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.equal.html?highlight=equal#torch.equal>
Element-wise,logical_xor,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.logical_xor.html?highlight=logical_xor#torch.logical_xor>
Element-wise,rsqrt,P1,"torch, torch.Tensor",
Element-wise,round,P1,"torch, torch.Tensor",
Element-wise,acos,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.acos.html?highlight=acos#torch.acos>
Element-wise,acosh,P2,"torch, torch.Tensor",
Element-wise,asin,P2,"torch, torch.Tensor",
Element-wise,asinh,P2,"torch, torch.Tensor",
Element-wise,atan,P2,"torch, torch.Tensor",
Element-wise,atan2,P2,"torch, torch.Tensor",
Element-wise,atanh,P2,"torch, torch.Tensor",
Element-wise,cosh,P2,"torch, torch.Tensor",
Element-wise,erf,P2,"torch, torch.Tensor",
Element-wise,erfc,P2,"torch, torch.Tensor",
Element-wise,erfinv,P2,"torch, torch.Tensor",
Element-wise,exP1,P2,"torch, torch.Tensor",
Element-wise,expm1,P2,"torch, torch.Tensor",
Element-wise,fmod,P2,"torch, torch.Tensor",
Element-wise,log10,P2,"torch, torch.Tensor",
Element-wise,log1p,P2,"torch, torch.Tensor",
Element-wise,sinh,P2,"torch, torch.Tensor",
Element-wise,tan,P2,"torch, torch.Tensor",
Element-wise,frac,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.frac.html?highlight=frac#torch.frac>
Element-wise,trunc,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.trunc.html#torch.trunc>
Element-wise,lgamma,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.lgamma.html?highlight=lgamma#torch.lgamma>
Element-wise,mvlgamma,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.mvlgamma.html?highlight=mvlgamma#torch.mvlgamma>
Element-wise,digamma,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/special.html#torch.special.digamma>
Element-wise,polygamma,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/special.html#torch.special.polygamma>
Element-wise,lt,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.lt.html?highlight=lt#torch.lt>
Element-wise,logical_or,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.logical_or.html?highlight=logical_#torch.logical_or>
Element-wise,logical_not,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.logical_not.html#torch.logical_not>
Broadcast,fill,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.fill_.html?highlight=fill_#torch.Tensor.fill_>
Broadcast,zero,P0,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.zero_.html#torch.Tensor.zero_>
Broadcast,empty,P0,torch,<https://pytorch.org/docs/stable/generated/torch.empty.html?highlight=empty#torch.empty>
Broadcast,full,P0,torch,<https://pytorch.org/docs/stable/generated/torch.full.html?highlight=full#torch.full>
Broadcast,ones,P0,torch,<https://pytorch.org/docs/stable/generated/torch.ones.html?highlight=ones#torch.ones>
Broadcast,zeros,P0,torch,<https://pytorch.org/docs/stable/generated/torch.zeros.html?highlight=zeros#torch.zeros>
Broadcast,arange,P0,torch,<https://pytorch.org/docs/stable/generated/torch.arange.html?highlight=arange#torch.arange>
Broadcast,repeat,P0,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.repeat.html?highlight=repeat#torch.Tensor.repeat>
Broadcast,broadcast_tensors,P0,torch,<https://pytorch.org/docs/stable/generated/torch.broadcast_tensors.html?highlight=broadcast_tensors>
Broadcast,linspace,P1,torch,<https://pytorch.org/docs/stable/generated/torch.linspace.html?highlight=linspace>
Broadcast,eye,P1,torch,<https://pytorch.org/docs/stable/generated/torch.eye.html?highlight=eye#torch.eye>
Broadcast,repeat_interleave,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.repeat_interleave.html#torch.repeat_interleave>
Broadcast,range,P2,torch,<https://pytorch.org/docs/stable/generated/torch.range.html#torch.range>
Broadcast,logspace,P2,torch,<https://pytorch.org/docs/stable/generated/torch.logspace.html?highlight=logspace#torch.logspace>
Reduce,all,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.all.html?highlight=all#torch.all>
Reduce,any,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.any.html?highlight=any#torch.any>
Reduce,max,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.max.html?highlight=max#torch.max>
Reduce,mean,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.mean.html>
Reduce,min,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.min.html?highlight=torch%20min#torch.min>
Reduce,sum,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.sum.html?highlight=sum#torch.sum>
Reduce,std,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.std.html?highlight=std#torch.std>
Reduce,argmax,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.argmax.html?highlight=argmax#torch.argmax>
Reduce,prod,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.prod.html?highlight=prod#torch.prod>
Reduce,argmin,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.argmin.html?highlight=argmin#torch.argmin>
Reduce,var,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.var.html#torch.var>
Reduce,median,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.median.html?highlight=median#torch.median>
Reduce,std_mean,P2,torch,<https://pytorch.org/docs/stable/generated/torch.std_mean.html?highlight=std_mean#torch.std_mean>
Reduce,var_mean,P2,torch,<https://pytorch.org/docs/stable/generated/torch.var_mean.html?highlight=var_mean#torch.var_mean>
Reduce,argmin,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.argmin.html?highlight=argmin#torch.argmin>
Composite,logsumexp,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.logsumexp.html?highlight=logsumexp#torch.logsumexp>
Composite,allclose,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.allclose.html?highlight=allclose#torch.allclose>
Misc,nonzero,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.nonzero.html?highlight=nonzero#torch.nonzero>
Misc,unique,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.unique.html?highlight=unique#torch.unique>
Misc,where,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.where.html#torch.where>
Misc,embedding,P1,"torch, torch.nn.functional",<https://pytorch.org/docs/stable/generated/torch.nn.functional.embedding.html?highlight=embedding#torch.nn.functional.embedding>
Misc,histc,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.histc.html?highlight=histc#torch.histc>
Misc,unique_consecutive,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.unique_consecutive.html#torch.unique_consecutive>
Misc,kthvalue,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.kthvalue.html?highlight=kthvalue#torch.kthvalue>
Misc,bincount,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.bincount.html#torch.bincount>
Misc,mode,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.mode.html?highlight=torch%20mode#torch.mode>
Misc,kthvalue,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.kthvalue.html?highlight=kthvalue#torch.kthvalue>
Misc,embedding_bag,P2,torch,<https://pytorch.org/docs/stable/generated/torch.nn.functional.embedding_bag.html?highlight=embedding_bag#torch.nn.functional.embedding_bag>
Misc,embedding_renorm_,P2,torch,
Host,item,P0,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.item.html?highlight=item#torch.Tensor.item>
Host,detach,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.detach.html?highlight=detach>
Host,numel,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.numel.html?highlight=numel#torch.numel>
Host,element_size,P2,torch.Tensor,
Host,dim,P2,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.dim.html#torch.Tensor.dim>
Host,tolist,P2,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.tolist.html#torch.Tensor.tolist>
大模型算子,Multi-Head Attention,P0,torch.nn,<https://docs.pytorch.org/docs/stable/generated/torch.nn.MultiheadAttention.html#multiheadattention>
大模型算子,Multi-head Latent Attention,P0,flash-attn,<https://github.com/Dao-AILab/flash-attention>
大模型算子,Grouped-Query Attention,P0,transformers,"<https://arxiv.org/pdf/2305.13245>
<https://github.com/Dao-AILab/flash-attention>"
大模型算子,SwiGLU,P0,Diffusers,<https://huggingface.co/docs/diffusers/main/en/api/activations#diffusers.models.activations.SwiGLU>
大模型算子,RotaryPositionalEmbeddings,P0,torchtune.modules,<https://docs.pytorch.org/torchtune/0.4/generated/torchtune.modules.RotaryPositionalEmbeddings.html>
大模型算子,RMSNorm,P0,torch.nn,<https://docs.pytorch.org/docs/stable/generated/torch.nn.RMSNorm.html>
计算通信融合算子,fused_all_gather_gemm,P0,,"<https://arxiv.org/html/2406.06858v1#S3>
<https://github.com/bytedance/flux/blob/main/test/python/ag_gemm/test_ag_kernel.py>"
计算通信融合算子,fused_gemm_reduce_scatter,P0,,"<https://arxiv.org/html/2406.06858v1#S3>
<https://github.com/bytedance/flux/blob/main/test/python/gemm_rs/test_gemm_rs.py>"
计算通信融合算子,fused_gemm_all_reduce,P0,,"<https://arxiv.org/pdf/2506.11309>
<https://docs.nvidia.com/nvshmem/api/examples.html#gemm-allreduce-fused-kernel-example>"
计算通信融合算子,fused_all_gather_grouped_gemm,P0,,"<https://arxiv.org/html/2406.06858v1#S3>
<https://github.com/bytedance/flux/blob/main/test/python/moe_ag_scatter/test_moe_ag.py>"
计算通信融合算子,fused_grouped_gemm_reduce_scatter,P0,,"<https://arxiv.org/html/2406.06858v1#S3>
<https://github.com/bytedance/flux/blob/main/test/python/moe_gather_rs/test_moe_gather_rs.py>"
